,f_res
1717,20.99836208945831
14654,25.05046903033953
3878,46.24916895469582
1812,73.71205802987731
12595,51.828196505377264
2959,15.158508320082158
8936,18.79163044256671
5816,26.977468432008216
6901,54.93346487342665
5369,79.17418304599045
966,15.177940723629145
4700,35.864881346520576
5276,54.33137955178389
14391,49.50377385614152
17914,43.14265141365329
3799,33.56858818896023
9681,46.20926799896315
18550,39.20574270435391
140,68.69168585178268
4816,56.018914644966124
15122,21.95833136055652
13904,23.947706397273205
9023,32.11762603758254
1392,53.80310394391759
19060,68.0674368990048
