,x_0,x_1,x_2,y_0,y_1,y_2
1696,1,5,2,3,1,2
1761,1,5,5,1,2,2
14170,7,4,5,1,2,2
3978,2,5,9,1,1,2
14530,7,6,0,3,1,0
4985,3,1,2,1,3,2
5118,3,1,7,3,3,2
6573,3,8,0,1,3,0
4813,2,9,4,3,2,2
6997,3,9,8,1,3,2
155,0,3,2,0,2,1
10389,5,6,3,3,2,2
19546,9,9,2,1,2,3
5401,3,3,0,2,1,0
4482,2,8,1,1,1,3
1043,1,2,4,3,2,2
15484,8,1,1,3,2,2
13123,6,9,1,2,2,1
5664,3,4,2,1,2,2
4299,2,7,3,1,2,1
11080,5,9,4,1,1,3
16977,8,7,4,2,2,1
16214,8,4,2,2,2,1
957,1,2,1,2,1,3
9456,5,2,3,3,1,1
15764,8,2,3,1,3,3
16910,8,7,1,3,3,2
5236,3,2,3,2,1,3
10553,5,7,1,1,2,3
15548,8,1,4,2,1,1
5736,3,4,4,3,3,1
12002,6,4,2,2,3,3
11480,6,2,0,1,3,0
12442,6,6,2,1,1,1
2631,1,9,1,3,2,1
4053,2,6,2,2,3,3
18834,9,6,2,2,1,3
9392,5,2,1,1,1,2
5894,3,5,1,3,3,1
6842,3,9,2,1,3,2
16685,8,6,2,1,3,2
15069,7,8,3,3,1,3
9923,5,4,3,1,3,1
6387,3,7,2,3,1,2
14576,7,6,2,3,1,2
10836,5,8,3,2,3,1
8730,4,8,2,3,3,3
5278,3,2,5,1,2,1
9594,5,2,9,1,1,1
9413,5,2,1,3,3,2
10482,5,6,7,3,1,1
11371,6,1,5,3,3,3
11273,6,1,2,1,3,2
8270,4,6,3,1,1,3
8249,4,6,2,1,3,1
9796,5,3,7,2,2,3
10523,5,6,9,1,3,3
11320,6,1,4,1,1,3
5250,3,2,3,3,3,2
3399,2,3,4,1,3,3
6228,3,6,5,3,1,2
13656,7,2,3,3,3,1
5949,3,5,4,1,1,1
9242,5,1,4,2,3,1
9296,5,1,6,3,1,1
8097,4,5,5,2,3,3
18415,9,4,4,3,2,3
