,x_0,x_1,x_2,y_0,y_1,y_2
1854,1,5,7,2,2,1
14993,7,8,2,1,1,3
3967,2,5,7,3,2,1
1756,1,5,3,1,3,3
12887,6,8,0,2,3,0
2639,1,9,1,3,1,1
5107,3,1,7,1,2,3
6926,3,9,5,1,2,2
12059,6,4,4,2,3,2
2851,1,9,9,3,2,3
4944,3,1,0,2,1,0
6383,3,7,2,1,1,2
17562,9,1,1,2,1,2
10881,5,8,3,3,3,2
18787,9,6,2,3,3,1
9882,5,4,1,2,1,1
7328,4,2,2,1,3,3
8137,4,5,6,1,1,3
1214,1,2,9,3,3,2
19194,9,7,9,3,1,1
3359,2,3,1,3,2,2
4032,2,6,0,2,3,0
14756,7,7,1,3,2,2
15090,7,8,6,1,2,2
4411,2,7,7,1,3,3
5271,3,2,4,2,1,1
13839,7,3,1,2,3,3
9851,5,3,9,2,2,1
6153,3,6,1,3,3,3
2258,1,7,4,3,2,1
13426,7,1,3,2,3,1
8077,4,5,3,3,1,3
14787,7,7,3,1,3,1
18564,9,5,3,1,2,3
4756,2,9,2,2,3,3
15,0,1,2,0,2,1
10414,5,6,4,1,1,1
8040,4,5,2,1,3,2
11570,6,2,3,2,1,3
4540,2,8,3,1,3,1
806,1,1,3,2,2,3
10616,5,7,2,3,1,1
12234,6,5,2,2,2,3
6611,3,8,1,3,3,1
19537,9,9,3,3,3,3
1731,1,5,2,2,1,1
16172,8,4,2,1,3,1
5740,3,4,3,3,3,1
17156,8,8,4,3,1,1
11043,5,9,1,1,3,3
9927,5,4,3,1,1,2
1557,1,4,4,3,1,3
8287,4,6,2,3,3,1
18119,9,3,4,3,1,1
10839,5,8,2,1,3,1
5665,3,4,1,1,1,3
5920,3,5,1,3,1,2
9688,5,3,2,3,3,2
14348,7,5,3,3,1,1
8329,4,6,4,2,3,3
7590,4,3,3,1,3,1
4092,2,6,3,2,2,2
5499,3,3,3,3,2,3
18283,9,4,1,3,1,2
8762,4,8,3,1,3,3
7093,4,1,2,2,2,1
7524,4,3,0,1,3,0
8994,4,9,3,2,1,2
9708,5,3,3,3,1,1
9737,5,3,4,3,2,3
8692,4,8,0,1,1,0
9657,5,3,1,3,1,3
7615,4,3,4,1,2,3
10636,5,7,3,2,1,3
9505,5,2,4,3,3,1
9245,5,1,4,1,2,1
3394,2,3,3,1,2,2
9241,5,1,3,3,3,3
235,0,3,8,0,2,3
17895,9,2,5,1,3,3
11512,6,2,1,1,2,1
10338,5,6,1,1,1,2
7109,4,1,3,1,1,3
7544,4,3,1,2,2,2
9934,5,4,3,1,3,3
