,f_res
14632,29.017883566690386
3872,33.751106055950224
1810,61.50004385364291
12576,47.53008771294242
13793,100.14244804776843
4965,18.949632968477253
2648,24.791800783525183
5089,44.02953655218279
4220,44.66172493310127
3530,79.31064982711969
25,17.595142602718514
15052,21.95833136055652
8273,33.69165724626796
13915,54.12103555919823
18302,45.13014977816936
7233,17.287128194121777
13370,20.93965224257557
14775,44.67606915340695
17680,40.36002127105485
4828,81.72826302448865
1429,10.84757829471629
4332,43.237773774790945
11135,31.850200956979847
56,61.737737578324
18466,56.69953319913665
13604,19.71139866828328
7728,25.031797593461
3572,30.939816115322987
566,40.136544694330624
12281,42.86803922504504
1264,21.103280659651002
1335,22.784835235743973
4485,45.33939581644202
15504,38.328030017208036
18814,49.588314369415706
6783,23.696831017036857
14097,38.279588307608535
11201,34.69576843074671
7480,51.09730667070428
4520,52.690203795392556
2941,18.246106631552934
8117,30.987519536742532
3184,38.478447395912426
13451,25.903844311028433
15329,55.9357137971797
5267,27.22909175826473
4052,24.624090145627715
7414,38.55403431250743
15356,62.2549126495251
10496,51.48485248109389
7396,16.207755024061782
10896,22.18498109081908
11019,53.77998015060995
5729,74.3814343569684
11699,66.37495769490177
9586,32.24564302351559
9994,25.77720797526373
11166,28.276911656685563
9839,28.665433504484106
10042,53.095598772402965
4289,30.087695595375862
7223,25.5709632444693
9613,34.678582453727834
8194,46.055243273703375
14606,74.69501175446725
11113,16.068239074957777
9208,35.498226254420096
10475,29.77470444857514
11374,33.16716407834713
6089,48.54383137948631
