,f_res
1760,25.79025636883046
1858,45.704140948167925
3976,47.753846640872815
12916,45.02786370682047
15027,120.0767231814726
7074,17.36228733663857
5101,63.21745603075151
6902,56.515526441854895
4905,82.25134702848337
8164,87.33832148604644
799,9.51655877037493
8601,29.890098013388982
18154,26.556693261774893
7725,57.01527905745968
17213,53.84017701493932
3342,18.596701047766512
15524,27.210154832341548
12267,34.960813305757064
6383,42.80527082030904
13188,61.247689180898895
11550,13.887533286008713
658,25.9073242008896
79,54.242645337870464
10852,29.77470444857514
19072,44.01442219318572
4510,32.458489226857125
7589,29.825104613563386
210,52.364180543573866
17387,31.89899161415608
4369,49.832888668027266
3235,19.408355819079574
5739,35.65443065034134
15978,33.26051535980764
15086,63.317437685048496
8988,69.68892013082136
7154,21.389080284341354
5518,34.34381966234973
6205,40.197928752611126
13526,43.35940084503014
16808,41.18399335907095
2958,17.072180433676305
532,31.99034709424079
1087,37.09685595842322
13726,41.08586098647562
12810,58.29926879472846
5033,32.938376524200464
15562,27.08990471227243
9239,21.046346858540556
8339,44.082545309906955
12096,56.01155853928723
772,11.882642740148338
9514,19.84252471763611
11580,28.276911656685563
12748,35.398965013118676
1160,70.19423704265188
2865,10.556446888986843
9497,38.78047963860169
5582,30.437666352728158
15525,26.911325218205068
18231,53.08411514756557
11545,28.008287095072415
10433,44.1535847808533
9320,47.963344118190925
10694,66.48294676832548
2223,53.51082382098037
8281,33.31964702694193
8799,42.01447786180378
4331,45.174861394364015
7682,72.7174534826406
16536,41.94103233111937
