,f_res
1711,35.913869827686355
1806,46.57311040031576
14606,34.51794640994739
3865,35.46135431705901
12554,42.74216303604674
2898,17.229967957312052
2638,18.348184320526105
1426,70.86508205032997
8702,54.79461839451024
6831,77.78364676459957
5820,16.905593751477646
863,40.09494895320357
9138,36.718463802288895
7247,39.35069297992095
12011,99.46442978271178
5387,19.072761302181704
17069,23.980709851878864
6525,40.96023369073961
9906,50.175689521918876
18299,53.64599380196065
1951,17.455740882013576
15914,17.39782398958272
13659,24.35656705367158
3610,32.957508623832595
11262,28.331249407677028
5828,19.90281151546183
8121,21.79596014517369
17841,20.97871831166051
6080,43.91771110838997
13934,39.78084666017052
20,13.8747133058669
11866,26.99170817121436
15301,37.00108297063749
4529,53.13400074340346
14367,65.84731703721876
10968,13.56719292742607
1033,25.047638339172817
11709,28.225648823189168
587,50.437858142470716
12086,43.94103273706707
7699,26.116064059501767
5383,29.97348217691765
7871,37.6086926255088
6704,47.15332944766467
18973,63.56938984291103
9390,22.308445598024083
2462,33.93676310433864
9239,31.383986349092112
11460,39.7930721357374
10133,48.97453006410577
9395,15.610675179504568
7250,21.0799629828897
7433,29.825104613563386
8583,39.38255000631625
7480,48.02127215099575
5130,14.801069322856373
11467,24.559143947621628
10524,33.90004353979505
7920,48.41835972025488
9029,36.09593441095548
