,x_0,x_1,x_2,y_0,y_1,y_2
1711,1,5,2,1,3,3
1806,1,5,6,1,2,2
14606,7,8,4,1,1,2
3865,2,5,4,2,3,1
12554,6,8,2,2,2,1
2898,2,1,2,3,1,2
2638,1,9,1,3,1,1
1426,1,3,9,3,2,2
8702,4,8,9,1,2,1
6831,3,9,5,3,2,3
5820,3,5,0,2,1,0
863,1,1,6,1,2,2
9138,5,1,8,2,2,1
7247,4,2,4,1,3,3
12011,6,5,7,3,2,3
5387,3,3,2,1,2,1
17069,9,1,1,2,2,1
6525,3,8,2,1,2,3
9906,5,5,3,3,2,3
18299,9,6,2,3,2,3
1951,1,6,2,2,1,1
15914,8,5,0,1,1,0
13659,7,4,1,1,2,3
3610,2,4,3,3,1,3
11262,6,2,3,3,2,1
5828,3,5,1,1,1,3
8121,4,6,3,1,1,1
17841,9,4,4,1,1,1
6080,3,6,1,3,3,2
13934,7,5,3,2,3,1
20,0,1,2,0,3,3
11866,6,5,1,3,1,1
15301,8,2,3,2,3,3
4529,2,8,3,3,3,1
14367,7,7,3,2,3,3
10968,6,1,1,1,3,2
1033,1,2,3,2,3,2
11709,6,4,4,1,1,2
587,0,8,3,0,3,2
12086,6,6,1,2,3,2
7699,4,4,4,3,1,1
5383,3,3,1,3,3,3
7871,4,5,2,1,3,2
6704,3,9,0,1,3,0
18973,9,9,1,2,3,2
9390,5,3,0,2,3,0
2462,1,8,3,3,1,3
9239,5,2,3,2,1,3
11460,6,3,2,3,3,3
10133,5,6,3,3,3,1
9395,5,3,1,1,1,2
7250,4,2,4,2,2,1
7433,4,3,2,3,3,1
8583,4,8,3,3,1,2
7480,4,3,4,3,2,3
5130,3,2,0,3,1,0
11467,6,3,3,1,3,1
10524,5,8,1,2,1,3
7920,4,5,4,1,2,3
9029,5,1,3,3,3,3
11037,6,1,4,1,1,1
5411,3,3,3,1,1,3
8759,4,9,2,1,1,1
11907,6,5,3,1,3,3
6309,3,7,2,1,3,1
7177,4,2,1,1,3,2
10341,5,7,3,1,1,3
9202,5,2,1,3,2,2
9872,5,5,2,2,2,1
9480,5,3,4,2,3,2
10955,6,1,0,2,1,0
9450,5,3,3,2,1,1
14117,7,6,2,1,1,2
11251,6,2,3,1,3,3
9916,5,5,4,1,3,1
9847,5,5,1,2,1,3
9242,5,2,3,2,3,1
9899,5,5,3,2,3,2
11505,6,3,4,3,2,3
6370,3,7,4,2,3,3
