,x_0,x_1,x_2,y_0,y_1,y_2
1753,1,5,2,3,2,3
3958,2,5,6,2,2,1
1850,1,5,6,2,2,3
12858,6,8,3,2,2,1
14960,7,8,3,1,3,2
7040,4,1,2,1,2,1
643,0,9,0,0,2,0
3106,2,1,9,1,2,2
4820,2,9,4,2,2,3
10196,5,5,9,1,2,3
17566,9,1,3,1,2,1
4528,2,8,1,3,2,1
3012,2,1,5,2,2,3
13981,7,4,1,3,2,3
19207,9,8,1,3,1,2
100,0,2,2,0,2,2
11938,6,4,4,1,1,1
7906,4,5,1,1,3,1
9472,5,2,7,3,2,1
19385,9,8,8,3,2,1
3434,2,3,3,2,3,1
502,0,7,3,0,2,2
8597,4,8,1,1,2,3
11227,6,1,3,3,2,3
18554,9,5,3,2,3,1
3169,2,2,2,2,1,3
12315,6,6,0,3,1,0
9585,5,3,2,3,3,1
8207,4,6,4,2,2,3
18108,9,3,4,3,1,3
1158,1,2,7,3,1,1
6081,3,6,1,2,1,2
9564,5,3,2,1,1,3
14182,7,5,1,1,2,1
17261,8,9,0,1,3,0
3368,2,3,0,2,1,0
15631,8,2,0,3,1,0
2662,1,9,1,1,3,3
6963,3,9,8,2,2,1
15167,7,9,1,3,3,2
13513,7,2,1,1,3,2
15143,7,9,1,1,1,2
5316,3,2,6,1,1,1
6805,3,9,2,1,3,1
10274,5,6,2,3,3,2
3141,2,2,1,1,3,2
13769,7,3,2,2,1,1
5529,3,3,5,3,2,2
13633,7,2,6,1,2,3
5600,3,3,8,3,2,3
5261,3,2,3,2,3,3
9396,5,2,4,3,1,1
13592,7,2,4,2,3,1
7361,4,2,6,1,3,3
13819,7,3,4,2,2,3
4364,2,7,4,2,1,1
7740,4,4,3,3,1,2
9620,5,3,4,1,3,2
14790,7,7,6,1,1,2
12214,6,5,5,3,3,1
8583,4,8,0,1,1,0
6662,3,8,6,1,1,2
6133,3,6,3,2,3,1
9424,5,2,5,3,3,2
17153,8,8,5,3,2,1
9173,5,1,5,1,2,1
5061,3,1,4,3,2,1
7259,4,2,1,3,2,3
10335,5,6,5,2,1,1
9902,5,4,6,2,1,3
10250,5,6,2,1,1,1
9105,5,1,2,1,3,3
9143,5,1,3,3,3,1
9207,5,1,6,2,1,3
8287,4,6,7,3,2,2
