x_0,x_1,x_2,y_0,y_1,y_2,f_res
7,5,9,1,1,1,38.09694717900635
7,8,1,3,2,3,54.35611948069877
4,3,2,1,2,3,24.582467593795382
2,5,2,3,2,3,36.29639592301142
3,4,8,1,3,3,90.05620903635685
1,6,3,2,3,2,45.22305852106865
7,1,3,3,2,2,36.643929783799116
1,9,3,2,1,1,21.73386908145901
1,7,1,2,3,2,41.84381335394756
3,4,8,3,1,2,58.90255970668847
3,9,9,2,2,3,103.11708550477945
8,2,4,2,2,1,27.228195257857248
5,8,1,2,1,1,0.0
8,8,1,3,2,3,55.113517416329
6,4,3,1,1,2,0.0
3,5,4,1,1,2,28.34761875431515
9,2,4,2,2,2,38.324406740352806
9,6,1,1,1,3,24.575874871304173
5,1,3,2,2,3,29.661450251294188
4,6,6,1,1,3,64.55299659194762
1,1,3,1,2,3,24.226417281141675
8,3,9,2,2,2,80.75342387787653
7,4,9,2,3,2,91.91722983750108
8,2,5,1,2,1,21.905357493088307
2,6,2,1,3,3,42.776485538201946
9,2,5,3,3,2,56.25875605627981
0,5,2,0,1,1,0.0
4,5,6,1,2,2,47.90166229892236
3,9,9,1,3,2,98.18415950141855
1,4,3,1,1,3,28.429995009672442
5,8,1,1,3,3,52.53490627192552
3,6,1,1,3,2,38.1205556229182
2,4,9,3,1,3,89.14274807296441
8,5,5,2,1,1,30.60547983613392
6,7,9,2,1,2,71.92564712256679
4,7,2,2,1,2,30.51143656073899
5,6,7,2,2,1,40.533714189548434
6,7,8,2,1,3,96.75239956197468
9,5,2,3,2,1,40.74034872212068
5,2,7,1,3,1,32.410471974502315
6,5,3,3,2,3,51.3955388920089
7,1,3,3,1,1,27.321806766756843
1,7,1,3,3,1,39.151319888351146
5,2,1,3,3,3,29.10615946221693
9,3,2,3,2,2,41.338279451375335
5,4,2,2,2,1,0.0
1,3,2,3,1,1,0.0
2,7,4,3,3,2,60.91258085978627
4,2,8,3,3,2,80.33133867924772
7,3,7,3,3,3,86.17714491673532
5,6,0,2,2,0,29.777408450031373
1,6,9,1,2,2,78.30418937068437
9,1,2,2,2,3,32.88917188072695
1,9,8,3,1,1,33.759623441176004
9,3,8,1,2,2,70.06868174155984
6,3,3,2,3,2,35.56828841819634
5,9,7,1,1,2,51.24894315007871
3,7,3,3,2,1,40.12602776253837
2,3,2,2,3,2,27.694274387316955
3,4,9,1,1,1,0.0
6,4,8,1,3,2,84.69376785808977
7,6,5,1,2,2,45.08346150197431
7,1,5,1,1,3,45.20322121718761
2,4,5,1,1,1,0.0
5,7,5,3,2,1,46.89433584133589
6,7,5,1,3,2,64.65836183356335
7,3,6,2,1,3,67.32644679470319
3,7,2,3,2,3,47.91251229063239
9,6,1,2,1,1,27.389768932212625
2,1,4,2,2,3,36.439488374564206
8,8,7,1,1,2,52.06195495753113
8,8,6,1,3,1,57.60002476561968
4,2,8,2,2,3,88.02478024965471
5,7,6,1,2,3,80.7999756497488
8,6,3,2,2,3,50.28706829792328
4,8,9,3,1,2,74.06897386895542
4,4,4,3,2,2,39.35168814676189
4,5,6,1,3,3,79.87811351678255
6,8,8,1,2,1,51.347107513471485
6,4,7,1,2,2,60.82195673438993
4,3,8,3,2,3,96.01113784348148
7,2,0,1,2,0,13.210243015554255
5,1,2,2,2,2,0.0
2,6,8,1,3,2,89.18040815111803
6,1,6,3,3,2,59.1108425079528
3,8,6,3,1,1,36.70520783213194
7,8,3,3,2,2,58.559703149862365
4,5,2,3,3,3,48.918558952610205
8,8,9,3,2,3,118.69060665023159
5,6,1,2,1,3,29.149087481428985
6,5,1,2,2,2,31.486391806620205
7,7,2,3,2,1,44.91455018142784
5,5,3,2,2,1,31.640914493737377
7,7,6,1,2,2,55.98440943691377
9,4,2,2,3,1,34.84580433854268
2,8,4,1,3,3,65.4509578310356
2,2,0,1,1,0,7.62512401538493
3,5,6,2,3,2,63.36457964036374
9,3,2,2,2,3,34.73013280999657
3,2,2,1,3,2,20.458611277894693
9,5,3,3,3,3,62.898825895242275
7,7,6,1,3,3,87.78625676607928
4,4,7,1,2,1,30.229405247870822
5,5,2,1,3,3,39.66037683885518
6,4,2,2,3,2,36.57962364486546
6,4,8,2,2,1,41.32833045260841
7,6,3,3,1,3,47.36439945782064
6,5,9,2,1,3,99.35750100520846
3,5,2,2,2,1,0.0
0,9,0,0,2,0,25.9073242008896
8,7,4,2,1,3,50.15322747341391
5,7,1,1,1,1,20.88261121818821
6,6,6,1,1,1,28.736779447251916
9,7,9,1,3,2,97.55667744444766
3,2,1,1,3,3,17.420699058591193
1,9,8,1,3,1,65.89141069213801
8,2,5,3,3,2,53.5266430854766
6,7,9,2,3,1,71.58756845290948
2,8,5,3,1,1,30.68138163447011
8,8,2,3,1,2,42.90190467799769
7,1,3,1,1,1,0.0
8,3,1,1,3,2,22.456966967068368
6,5,6,3,3,1,46.277509526766885
9,2,9,2,3,2,76.02257220720698
3,4,1,2,1,1,17.863193478490906
4,2,8,3,3,3,86.444505001764
3,6,4,3,1,3,45.68306410476425
7,5,6,1,3,1,37.581536503980246
4,7,4,2,1,3,46.158691283440874
4,9,4,3,3,3,86.97434705130013
2,1,4,1,3,3,33.56197866038295
7,5,4,3,1,3,51.486090956684606
1,8,4,2,3,1,49.823061668267634
