x_0,x_1,x_2,y_0,y_1,y_2,f_res
5,3,3,3,3,1,33.02365705066597
4,6,6,3,2,2,55.86894017251446
3,4,9,1,3,2,86.72351879392349
8,6,2,2,1,3,35.74492839550808
3,7,1,2,1,1,0.0
1,9,4,3,3,1,54.15500111716368
1,4,8,2,2,3,85.56517068293617
2,4,5,3,1,3,46.90462087044303
7,6,4,3,3,3,75.2932367613453
5,5,6,1,2,2,48.455323185383875
7,4,9,3,2,2,90.74075993730712
0,8,8,0,1,3,75.03165434668223
5,9,5,2,3,3,90.93844936549117
3,7,6,3,3,1,53.075429588464004
1,8,9,3,2,3,95.1178413390464
3,3,2,2,1,3,23.858107423683045
0,4,6,0,2,2,43.58780822661309
2,5,5,1,3,1,33.593080998919994
6,5,2,1,2,3,32.52310363418596
2,4,9,3,3,1,54.54649977771259
6,8,4,2,3,2,70.91020059906755
0,8,9,0,1,1,29.98129705016112
9,2,3,2,2,2,34.636289610753636
4,3,7,1,2,2,57.90345323035579
6,4,7,1,2,3,84.90184436159205
8,8,2,1,1,3,31.626954627342798
0,9,6,0,2,3,72.20087476616887
3,3,5,1,1,1,0.0
3,7,7,1,2,3,87.67198605598028
1,6,2,1,2,1,25.542943860095686
9,3,2,1,2,2,22.720271609292
7,9,9,2,2,1,64.52502072064759
1,5,7,3,3,2,78.79090670248694
2,1,3,2,3,2,22.97602243230973
8,5,2,2,3,2,43.19548806299102
8,3,4,3,2,3,56.73096909096476
9,9,7,2,1,3,90.86107279247807
2,6,4,3,3,2,54.522137458100445
7,4,5,1,1,3,47.92796074318205
9,8,8,3,1,3,106.49149692346333
1,3,7,1,1,3,70.75191671919568
7,8,6,1,3,1,57.12702332521799
9,7,3,3,3,1,61.52868583839574
4,8,8,3,3,2,108.91131641386032
8,5,4,2,2,1,34.83257745272376
5,2,7,3,3,1,37.539006819573686
3,1,2,3,2,1,0.0
1,2,4,1,1,1,13.10128181705897
6,3,0,2,3,0,0.0
2,7,3,1,2,1,31.73032352119972
9,4,1,3,1,2,35.050118986959234
5,2,5,3,1,1,25.93352457727256
3,4,1,1,2,2,23.12517021256276
7,5,3,1,1,3,32.03999806491879
3,5,9,2,2,3,98.60967099630746
4,2,8,1,2,1,0.0
7,7,3,3,2,1,46.791309513626565
9,9,9,2,2,2,97.02303349720621
9,3,4,1,1,3,37.89390338827606
3,2,6,1,3,1,24.29385918807467
7,4,3,2,1,2,29.924909774300072
9,2,6,2,3,2,60.8510258007209
2,2,5,1,3,2,35.25990489054104
7,1,6,3,1,3,71.36776651962705
7,8,6,1,3,3,90.37061110781535
3,6,7,1,1,3,78.92590297867994
9,2,4,3,3,3,59.701733291421284
4,5,2,2,1,2,26.341621807322344
2,8,2,2,3,3,56.562147289508026
6,5,3,1,3,1,34.872967840434804
9,2,5,1,1,2,31.269609512912055
7,5,6,1,2,2,49.72163010199887
0,2,4,0,1,3,31.639875183856212
9,9,7,2,2,1,57.86062561880921
4,6,6,3,1,3,69.79840564081677
0,2,1,0,1,1,6.392810465671574
7,2,6,1,3,3,64.18095229115877
2,3,3,3,1,3,30.952922677026802
6,1,5,2,2,2,36.85896680592119
7,7,3,3,3,1,58.42919815468975
0,9,8,0,2,3,84.6982608735268
2,9,1,3,2,3,43.774112543831194
8,3,4,2,3,3,48.673979835226135
4,6,9,2,1,1,43.24845742913844
4,7,5,1,1,2,35.819127418740955
4,9,3,1,1,2,30.051118015807667
8,4,3,3,3,3,55.170590770808325
3,2,7,3,1,1,28.032143656880756
4,6,6,3,3,2,74.59125362936327
4,9,9,3,3,3,119.34762104457718
9,6,2,2,2,2,40.69198153199227
9,8,6,1,2,1,44.42924898082344
2,7,9,2,2,2,84.71525924530953
1,2,2,1,1,1,10.07172559793008
9,2,8,2,3,3,78.66580940917089
5,6,8,2,2,3,101.56952138313935
7,7,7,2,3,3,103.44133267703003
5,4,7,1,2,3,85.27504960420721
0,4,1,0,2,3,19.428277608166916
1,5,7,2,1,3,75.25889795233518
9,4,7,1,2,1,32.94516469832865
2,1,7,3,2,2,56.43237602653285
9,1,9,1,2,2,63.68866286867703
8,5,5,3,1,2,46.18890542110735
1,6,7,3,2,3,84.73494276861229
7,7,7,2,3,1,58.6663894321101
5,7,9,3,2,1,60.860366717593806
6,8,5,1,2,3,69.02849524652845
9,7,3,1,3,2,53.697329644964654
9,6,4,2,3,1,48.78535351926846
5,4,1,2,3,1,29.68900304826688
1,6,3,2,2,1,28.585133535633517
9,9,4,1,2,1,42.23446920466741
2,9,4,3,1,3,47.27931058084498
8,5,9,2,2,3,102.30919925891318
6,2,1,1,3,2,17.327620561692825
6,8,6,3,3,2,92.98372174203396
4,1,3,1,2,3,25.79935452312712
3,7,5,1,3,2,62.82486888167774
1,1,9,2,2,2,58.83456910023222
1,9,8,3,1,1,33.759623441176004
3,1,3,3,2,3,31.17651141885506
8,5,9,1,2,3,95.44500872753902
5,7,4,3,3,3,79.9645022619412
6,8,8,1,3,1,65.94129991136056
5,1,6,3,2,3,72.71168430176817
