x_0,x_1,x_2,y_0,y_1,y_2,f_res
1,4,1,2,3,2,27.242588837333358
6,3,1,3,1,3,29.311800644109187
0,8,2,0,2,1,27.454892082286538
9,4,3,2,1,2,32.761584363397326
2,5,8,3,3,2,89.43132052586499
3,3,7,1,1,1,0.0
3,2,1,1,1,1,0.0
5,8,1,1,1,2,24.820166967407776
3,3,7,1,3,1,32.87891790251012
2,6,4,3,1,2,33.16069730871171
7,1,3,1,1,3,26.789622036154228
4,2,0,3,1,0,0.0
5,1,8,3,1,1,36.538785570951866
4,4,6,3,1,3,66.98864420929864
9,5,9,3,3,3,108.03512733828752
9,2,6,1,1,3,62.2087429466309
0,5,3,0,1,1,0.0
3,1,3,3,1,3,30.460527279743534
2,9,1,1,2,3,37.9921128920201
5,5,9,2,1,3,98.2420757109702
8,6,2,3,3,1,51.170969553058114
9,2,7,2,3,1,39.182203779266935
8,3,9,2,2,3,93.57705648822258
7,7,2,1,3,2,49.23167804371491
2,3,7,3,2,1,30.234806030302227
4,6,7,3,2,1,42.31854312237131
7,1,3,2,3,1,24.721100177783352
7,6,4,2,1,2,36.96095702224173
4,8,7,2,2,1,49.465711902286415
6,7,9,2,3,1,71.58756845290948
4,5,5,2,3,3,69.91271950796936
6,7,1,2,1,3,32.45812924368871
4,4,1,1,1,2,17.26540111031308
8,2,2,1,2,3,21.255695027450876
4,2,1,2,3,3,21.616552940744278
6,3,2,2,2,1,23.397176646125487
8,4,5,3,3,3,73.35275148213597
7,7,5,2,3,3,84.7403050147921
4,8,8,1,1,2,59.665748717333635
1,7,2,2,3,2,45.73679023499572
3,6,0,1,1,0,0.0
3,4,9,1,3,2,86.72351879392349
9,6,2,3,3,1,53.11720082986301
4,7,4,2,3,2,62.176497850876096
5,1,6,1,2,3,63.75441234926411
5,5,6,3,1,3,70.12660885854955
3,5,3,2,3,1,36.67265062686361
9,4,5,3,1,3,63.32172728218964
1,1,4,3,2,2,24.2812163097321
6,6,9,2,3,1,66.28622301051705
7,4,6,3,2,3,83.44797452904413
9,3,0,3,3,0,36.10723640767873
6,4,6,2,2,1,31.256948827420757
8,7,3,3,2,3,63.459113057148855
4,5,7,3,3,3,98.04070157337716
6,3,5,3,3,2,50.88361937794913
2,8,7,3,2,2,72.12058803143525
4,9,7,2,2,3,97.337087284344
2,7,7,3,1,1,34.41106140472857
5,7,1,3,2,1,40.80811234301337
5,2,4,3,2,1,26.948763199820508
1,3,2,3,3,1,21.985932940177907
9,3,3,2,3,2,39.650154148502374
1,6,4,2,2,2,38.86783921187284
1,3,6,1,1,2,34.087807323000405
4,2,4,1,1,1,16.12474473007247
2,2,1,3,1,3,16.605557001498024
5,3,1,2,3,2,26.871672774317567
0,7,9,0,2,1,46.98020029757217
2,7,7,3,2,3,91.81734760381613
7,5,1,3,2,1,34.605369554449204
8,7,7,1,3,3,94.46719604709351
5,1,2,1,1,2,0.0
6,1,2,3,2,2,30.305824423697832
5,7,2,1,1,2,25.66600273299292
7,3,3,3,1,3,42.245003775594576
6,9,5,2,1,2,44.725560723148014
2,7,3,2,3,2,53.569717686394426
5,5,4,1,3,1,35.41231048660904
8,8,9,3,1,2,80.61200975661133
9,9,3,1,1,1,27.14700184182408
5,6,3,2,2,3,48.97033772601533
0,9,0,0,1,0,11.884588670627183
4,2,4,1,3,3,39.35069297992095
1,8,8,2,1,2,57.65386497018218
2,7,8,1,1,1,33.70921659858028
9,5,7,1,3,2,80.07199778324505
6,4,3,2,2,1,28.169854472467552
7,9,9,2,2,2,96.71914699789282
3,3,5,1,3,3,54.328919969018344
8,9,0,3,3,0,64.6591146320455
7,3,2,3,1,3,36.47438428541324
3,1,4,3,1,3,37.45116999507492
4,2,5,3,1,3,48.7209621210419
5,7,1,3,3,2,54.589158456601986
9,6,2,1,3,3,45.08280411642559
3,9,5,2,2,2,55.629060714701986
1,9,9,1,3,2,93.27140494277977
1,4,6,1,1,1,0.0
0,4,6,0,2,1,24.05326467571502
7,7,5,3,2,3,80.49514610210979
7,4,3,2,2,2,35.39146734737061
9,2,4,2,1,2,34.700732470655424
9,5,0,2,1,0,24.34734947812595
9,9,7,1,2,3,90.12886042772314
6,3,1,2,3,2,27.467019905515777
7,9,3,3,1,2,46.34775210298769
7,9,3,1,2,1,40.32657969627477
9,2,6,3,1,2,49.797861189010916
8,7,8,2,1,3,96.22284864313673
5,3,3,1,2,1,0.0
6,8,7,2,2,3,99.78043085695712
9,4,9,2,2,2,84.236904430303
8,9,5,3,1,1,45.09738450287333
5,5,3,2,3,3,51.657759668804836
9,9,6,2,2,1,54.866780705632806
8,5,6,3,2,3,88.4595315045247
8,7,5,1,1,1,27.62843725511814
7,1,3,3,3,1,31.349900111483606
6,1,6,1,2,2,42.78016175939497
9,9,3,3,1,3,57.641640729597555
8,8,7,2,2,2,77.72386497723849
8,2,5,1,1,2,30.641096296477382
8,3,6,3,3,2,67.94748429485819
8,4,7,3,3,2,88.11996508169985
9,9,8,2,3,3,113.26950360975367
8,5,4,2,2,2,43.67576836187315
7,6,3,1,2,1,0.0
6,2,2,2,2,1,0.0
9,7,6,2,1,2,49.541689111292925
2,5,8,2,3,3,94.41615211922164
2,3,8,2,3,1,42.17267719744621
5,2,8,1,1,3,80.52725518108761
2,5,2,3,2,3,36.29639592301142
1,3,8,1,1,3,74.65576008112168
3,1,0,2,3,0,12.778700495746818
9,3,3,2,2,1,29.570948767329057
3,7,1,1,1,1,19.6298015254867
8,3,8,2,3,1,49.16633957292326
3,1,9,1,1,2,54.85774261387357
0,9,9,0,2,2,76.5512664428225
3,6,5,1,1,2,33.14618348603652
4,7,9,2,3,3,109.0729371017394
8,4,2,2,1,1,24.13666811492423
8,6,8,3,2,1,55.93116181521711
2,6,6,2,2,2,51.18626250274579
6,3,9,2,1,2,67.16529527963083
3,7,8,3,3,3,106.69182732055909
4,1,1,2,1,3,17.367452540888085
7,3,7,2,3,3,81.11776203766965
