x_0,x_1,x_2,y_0,y_1,y_2,f_res
7,1,3,2,3,1,24.721100177783352
7,9,1,1,3,1,52.212299355611606
3,3,7,1,3,2,0.0
4,5,1,2,3,1,33.93668473790567
4,4,2,1,1,3,23.098288751550406
3,9,2,2,1,1,27.78672212136581
2,3,4,2,1,1,17.617857624580804
1,2,5,1,1,3,42.027070752194945
0,6,2,0,1,2,17.403760159804545
6,5,7,3,1,3,93.50752742426675
7,1,2,2,1,2,0.0
8,7,2,1,2,1,32.67463594288389
5,8,9,3,3,3,120.58719022350591
8,7,4,1,1,3,43.33110134764635
4,2,1,1,1,1,0.0
3,7,3,3,1,1,29.609023557017213
2,4,6,3,3,2,58.10858826369816
5,1,7,2,2,2,58.48070783600349
3,9,3,1,3,1,53.28577312941982
7,5,4,2,1,2,35.04354720915107
1,2,9,1,2,2,64.02504366425688
3,7,3,3,2,3,54.14517659958272
5,1,4,1,1,2,23.82393154057491
7,6,8,2,3,1,59.79640272625102
3,8,5,3,3,2,75.51803401837206
2,8,3,3,1,2,32.764668577600474
5,5,1,3,3,3,44.561425684104854
7,7,2,3,3,1,56.21629135757712
3,1,5,2,2,3,49.50983592176407
3,2,9,3,3,1,0.0
5,5,1,2,3,2,37.904294545605254
1,6,1,1,2,3,27.934642879585912
4,9,2,3,3,1,63.582024299325354
5,5,2,1,1,3,25.23211256018806
8,3,7,1,3,2,70.19505607947043
4,5,5,2,2,1,31.9607314371871
7,4,0,2,1,0,0.0
9,1,4,3,1,3,53.359792746973824
4,2,7,3,1,1,29.31136550896256
4,4,2,2,2,1,25.859329395983956
9,2,4,1,3,2,32.23364616359744
3,6,2,1,2,2,32.59385790298534
1,8,5,1,2,2,47.72705104026437
8,8,5,1,1,2,39.08923965748119
1,4,4,1,3,2,37.91956985515526
3,2,4,1,3,2,30.09187639546594
7,8,6,2,1,2,48.493156228482384
3,9,9,3,3,1,79.6937478978119
2,7,2,3,1,1,24.335595945034918
2,8,9,2,1,2,66.0042924740505
2,1,6,1,2,3,61.482365178642894
3,6,2,1,1,1,19.445074742463706
3,9,2,2,3,3,64.1013244870962
2,5,2,1,3,1,31.62980918374311
1,6,9,2,1,3,83.75818320021035
8,7,2,1,2,2,37.169436449857564
5,7,9,1,1,3,90.42458652379894
6,9,8,2,3,3,112.73109092881165
1,6,5,1,3,2,54.709201419870865
6,5,3,3,2,3,51.3955388920089
6,8,4,2,1,3,50.08307160109092
7,4,8,3,1,1,42.292913839081834
3,4,7,3,3,3,90.07974140171585
5,9,8,2,2,2,89.10593242876706
4,6,1,3,3,1,42.647294755939676
3,4,1,1,1,3,17.787406370800664
1,9,5,2,3,3,77.10249123731346
2,5,5,3,2,3,60.60089867320451
6,1,7,2,3,2,63.06297787925971
3,2,4,3,3,2,35.62894931316387
9,8,3,3,1,3,55.6661402380298
7,2,2,2,2,3,28.85114247304602
8,3,6,2,2,1,31.7797299705331
9,9,5,1,1,3,55.909877061213436
7,2,7,3,3,1,40.74467565216344
9,2,2,1,1,2,19.430296423112026
8,7,7,1,3,1,54.88884785637243
9,8,4,2,3,2,72.99845342197327
8,6,7,2,2,3,95.03467792863823
2,1,1,1,1,3,0.0
8,2,4,1,3,1,22.52339757141449
5,7,7,3,3,3,109.6834867698871
6,9,0,2,2,0,42.37131121407503
6,2,6,2,1,3,65.0854786415526
2,6,4,3,3,1,43.04104503842815
6,5,5,1,3,2,51.246038334684954
4,2,0,3,2,0,0.0
4,8,1,3,2,2,46.327520600610605
2,6,4,2,1,3,41.29315989361918
3,9,3,2,3,3,69.2064022616405
4,5,3,1,2,2,33.67711588007501
3,3,5,2,3,3,56.443264779776875
4,4,3,2,3,1,32.71640032155127
7,9,5,2,1,3,60.55554145575778
2,4,4,1,2,2,31.38134039520938
9,9,1,1,1,1,24.832481475680193
5,8,2,2,1,3,37.377652922568586
7,3,7,1,3,3,78.52703412838156
5,2,7,2,1,1,27.53617418960012
8,1,5,3,2,3,65.08840008019861
6,5,5,3,1,3,56.441571372526475
8,7,9,1,3,2,98.46358812271671
5,1,6,1,3,3,59.42681907262074
9,8,3,3,1,1,41.40048206241082
8,9,4,3,3,1,74.01400257383735
9,8,6,3,3,1,72.96183666821992
6,6,4,3,2,1,42.6209724314216
