x_0,x_1,x_2,y_0,y_1,y_2,f_res
8,3,4,2,3,2,43.1405611229154
1,3,1,1,2,2,0.0
9,2,2,1,1,2,19.430296423112026
2,8,6,2,3,1,56.06067581647584
8,3,8,2,1,3,89.97838592128667
2,1,2,3,2,1,15.057211153796045
4,3,5,1,2,2,33.63130474736298
8,1,1,1,2,2,0.0
9,9,4,2,2,1,50.542246339077565
2,1,6,3,2,2,42.37783603488975
0,7,1,0,1,3,16.941702178057554
5,9,8,2,3,2,107.11718848532199
7,7,3,2,2,1,40.71191701455484
6,1,5,1,3,1,21.08730087849083
7,5,6,3,3,3,90.91030863988968
7,4,9,2,2,3,99.68391375242047
5,6,1,2,3,3,45.63170989564165
3,5,2,2,2,2,32.97260478033241
5,4,2,2,3,3,38.63523843591495
7,3,0,3,3,0,30.692717198058567
6,2,6,1,3,2,51.40379241845878
8,2,4,3,2,2,43.852374040637756
2,9,4,3,1,2,37.11510812324275
5,4,5,3,2,2,43.4697472962519
1,2,1,2,3,1,14.67274976580736
1,9,7,2,2,1,45.732521404357314
5,2,8,1,1,1,0.0
6,2,2,3,1,3,32.97759866939981
3,6,8,2,1,2,59.14676113702254
0,5,5,0,1,1,19.380792339324007
9,2,1,3,2,2,36.23097589080371
4,5,1,2,2,2,30.74649815832691
5,8,7,2,2,1,50.640851918189526
8,5,6,2,2,2,55.26780771841778
5,8,8,3,3,2,112.40682090513903
4,8,2,2,2,3,49.271437466345546
7,8,9,1,3,3,105.75219733414527
1,2,0,1,3,0,12.598818837494251
6,7,1,3,2,3,48.64193639237648
8,1,4,2,1,2,32.34731497358011
8,6,1,3,3,3,54.22193669540032
3,6,6,1,2,2,50.43365196969182
3,4,1,1,3,3,29.619990599086965
7,8,5,1,3,1,55.27138581580889
5,3,3,2,1,2,26.429060846916222
3,8,2,1,2,1,34.20024404313513
2,3,4,1,3,3,43.37096979547494
9,3,9,1,2,3,86.75475501089264
7,1,4,1,1,1,0.0
7,3,5,2,3,2,47.43386075368523
4,5,7,3,3,2,86.66434049826952
1,5,6,3,2,3,73.81577981705539
8,1,2,2,3,3,30.419083829070196
5,1,1,1,2,3,12.978469877839991
6,5,3,3,3,1,44.62296515248622
6,2,2,1,1,1,13.887533286008713
2,2,8,3,2,1,36.197467825802406
4,9,5,3,3,1,68.01635747377243
7,6,2,3,2,3,50.582821006741014
4,1,2,3,3,1,0.0
7,6,9,3,2,2,97.17805559898798
8,7,8,2,2,3,103.2357852152053
4,2,4,3,1,3,40.62976506208226
4,6,8,2,1,3,93.23379165302674
0,2,3,0,1,3,24.987663946035454
8,3,5,3,2,3,67.28079912575356
1,1,9,3,3,3,70.83560676665374
5,3,9,1,3,3,89.5011842938405
6,7,3,2,1,1,29.58353746596238
3,5,9,1,2,2,80.56253174398134
3,6,1,1,3,1,34.971656666506384
9,9,5,3,2,2,71.79503666688944
2,4,3,3,2,3,38.92911151053926
8,1,3,3,1,2,36.42148385225402
3,9,9,1,2,1,54.93346487342665
4,9,8,1,2,3,94.3235875377946
5,5,4,1,1,1,22.41433341636552
9,8,0,1,1,0,21.284127433606482
2,8,9,2,3,1,71.01851412835951
6,7,2,2,1,2,32.266939582179155
7,9,9,1,3,3,106.83023747984463
4,4,1,3,2,1,27.169276003603777
7,5,6,3,1,2,47.453404229833716
2,4,3,1,3,2,35.47894298030876
5,3,4,3,2,1,29.48780841296959
0,6,2,0,2,1,23.218345836859264
1,6,9,2,3,1,60.44575237351257
1,6,0,2,1,0,13.435065716995954
7,5,5,3,2,1,40.90862536189648
5,1,6,1,1,2,34.56275926499503
3,2,6,3,2,1,24.832190072766437
5,4,9,2,1,2,67.63145470858956
8,8,7,3,3,1,73.74845093966381
2,5,7,2,1,3,79.67500313147154
2,8,8,1,2,3,90.68703391885744
7,7,8,3,3,2,111.43129460793318
2,4,5,1,2,3,53.40676086414528
4,4,5,1,1,1,21.1460160801036
8,8,5,3,2,3,86.02546700251037
8,3,1,1,1,2,17.2675583641695
