,f_res
1760,25.79025636883046
1858,45.704140948167925
3976,47.753846640872815
12916,45.02786370682047
15027,120.0767231814726
7074,17.36228733663857
5101,63.21745603075151
6902,56.515526441854895
4905,82.25134702848337
8164,87.33832148604644
799,9.51655877037493
8601,29.890098013388982
18154,26.556693261774893
7725,57.01527905745968
17213,53.84017701493932
3342,18.596701047766512
15524,27.210154832341548
12267,34.960813305757064
6383,42.80527082030904
13188,61.247689180898895
11550,13.887533286008713
658,25.9073242008896
79,54.242645337870464
10852,29.77470444857514
19072,44.01442219318572
4510,32.458489226857125
7589,29.825104613563386
210,52.364180543573866
17387,31.89899161415608
4369,49.832888668027266
