x_0,x_1,x_2,y_0,y_1,y_2,f_res
1,5,7,1,3,2,77.85912525837931
9,2,3,0,3,2,24.03377770909101
6,1,7,3,3,3,76.16299143941235
5,2,1,1,3,3,17.738104218038632
3,9,5,2,3,0,51.304638562219694
5,1,2,0,2,3,14.678220362155624
2,5,1,1,1,3,18.599425133051827
4,8,6,1,2,0,32.071673837827674
8,9,1,2,3,3,65.86602694864781
6,6,5,0,1,2,30.84837107223005
2,4,7,2,1,3,78.48834107050548
5,9,2,0,2,0,25.9073242008896
4,3,8,3,3,0,25.20793284682423
8,1,1,1,3,1,15.958012061970626
9,3,3,2,2,3,40.50031006054151
6,8,5,2,3,2,76.1242198317986
8,2,5,0,2,0,8.185665024297048
2,6,4,0,3,1,37.31353113818096
6,9,5,3,1,0,34.44934449303789
6,4,9,3,1,2,72.29337415697236
3,5,1,3,2,0,25.976998787388816
9,8,6,1,2,0,32.231291954248434
9,3,9,3,1,3,102.3473677531572
8,1,7,1,2,3,69.11747627047735
1,5,6,2,3,2,60.87490465700952
5,7,2,0,3,2,42.26827860228046
5,1,4,2,2,2,30.055126051973232
6,5,6,2,2,3,80.78661731994973
2,9,2,3,3,0,49.372708544296
9,4,9,2,2,3,96.73863594241962
5,5,1,3,3,2,42.37024556218668
7,5,7,3,1,2,55.8207765173506
1,7,6,3,1,1,27.50714479567081
9,6,3,0,1,3,28.50818870166956
9,4,2,3,2,0,34.258138157232075
4,4,3,2,3,0,26.116064059501767
5,2,7,2,3,3,77.31167747501021
7,4,1,2,3,1,30.584215307900248
5,8,3,2,2,1,43.73077797158427
3,7,5,1,1,1,26.595290546448258
1,8,8,2,3,2,91.23672256827292
1,1,8,2,3,2,60.305917577713714
7,3,3,3,1,1,29.00969937796668
7,4,9,0,2,1,41.58207257039985
7,7,8,0,3,1,56.98977596902799
4,6,5,1,3,1,40.862955950347015
4,1,1,2,2,3,17.36228733663857
2,1,8,2,1,1,28.48108467105844
3,9,5,3,2,2,59.23233339992609
1,6,1,2,2,2,27.791209357636816
2,9,9,1,3,3,100.92635523984804
1,6,8,1,3,2,87.09317791882438
9,8,4,3,1,3,61.82843290913979
8,8,7,0,1,0,10.718236170657931
3,3,6,1,2,3,69.56820322532414
6,6,8,2,3,2,99.75200153380382
7,6,5,2,3,0,38.10824452792335
6,2,7,1,1,3,75.49065310354653
3,5,4,0,3,2,42.50829581387615
4,4,9,1,1,1,36.2669089762279
5,1,3,1,3,2,21.594576512865444
8,7,7,0,2,2,64.65752424118944
7,5,4,0,3,2,42.50829581387615
4,7,5,0,2,1,32.3477577021963
1,9,8,0,3,0,40.79401605493139
2,8,2,2,3,0,44.07397579070896
9,6,6,3,1,1,43.39848931702577
4,7,2,1,3,3,50.80148436807728
6,7,9,0,2,3,89.06716100224594
9,9,8,1,2,1,54.26643714120174
2,2,9,3,1,1,33.786628449728454
7,2,6,3,2,2,53.19462909918632
1,6,4,0,1,1,17.12640642662669
5,4,4,2,2,3,48.96354552113235
6,6,8,1,1,1,35.92352985161676
2,7,2,0,3,2,42.26827860228046
3,4,4,3,2,1,29.13382511171508
4,4,1,0,3,0,20.270159196464142
3,8,2,1,3,3,54.543143776280445
7,9,2,3,3,3,80.0319176828845
1,4,8,1,3,3,87.33435782668812
9,7,6,0,2,2,51.856475477996
8,4,1,0,1,2,11.75772024713975
5,9,9,3,3,3,123.09306087265846
8,2,5,1,2,1,21.905357493088307
3,4,1,1,1,3,17.787406370800664
3,2,5,0,1,1,14.733622967213462
6,2,4,0,1,2,56.2317695670339
4,1,7,0,2,0,3.5789057612767623
4,9,7,3,3,1,71.90910703798232
8,9,2,0,1,1,15.70479594136772
5,8,8,3,1,3,103.61916595881284
6,7,8,2,2,2,86.05134470186971
4,2,4,2,3,0,17.51672084752166
2,6,3,1,2,1,29.17938036713597
5,1,6,2,2,1,24.618146255150897
2,3,5,2,3,2,39.936271070293984
2,7,4,2,3,1,47.3165508992361
2,2,8,1,1,3,74.85894058828244
5,9,5,1,1,2,38.8393372368788
6,7,1,3,1,0,29.73783331044816
6,6,3,2,3,1,45.00875151567748
6,8,9,1,1,3,91.15849329601711
8,2,4,0,3,1,17.141497485634094
1,6,9,2,2,1,48.04016341562547
