seed,run_id,mae,rmse,r2
40,00,21.46538791205349,34.06905852202901,-0.09699569005575048
40,01,18.683046532525523,27.22263227870991,0.1404229652849842
40,02,12.296242272201559,29.813095823961422,0.5247279882286605
40,03,18.50550807437171,30.8406665526267,0.3096983431442454
40,04,16.57932886807448,32.35391187918968,0.15136233735391236
40,05,8.394230503589116,30.932777172266945,0.6683484938229758
40,06,7.299367539822131,32.12631563508112,0.7291079299340898
40,07,9.345604635331942,30.63656128903241,0.5812715057637452
40,08,8.91936938265166,31.110887221624033,0.6349845192385063
40,09,8.497025101618068,31.228600048851817,0.658500934005809
40,10,8.626657919965762,30.577586576340956,0.6442089245764786
40,11,6.1496919288911505,35.563670549843955,0.7896402835010444
40,12,8.39968719457232,30.502698834805468,0.6432359096572289
40,13,5.98575889572864,34.022613342869384,0.7946567805985472
40,14,9.480209726384656,30.197782846991448,0.5671655503023705
40,15,5.5594745853394265,35.30604685583558,0.8061469475638728
40,16,5.376932829280729,33.65601785406942,0.8222146545914397
40,17,6.066987890932135,32.570279858942854,0.7926766134662991
40,18,4.9870655769939,35.54569037868055,0.8043445425011324
40,19,4.978620570662827,35.00183729760072,0.82476278060055
40,20,6.705067737239593,38.393731215484124,0.7422841376548103
41,00,15.945942347598862,27.429413221606403,0.2460399622691546
41,01,14.907842944979253,31.879926146236432,0.35766743195360995
41,02,9.664609574041485,29.271445426740527,0.6510065003780006
41,03,5.989461529378896,30.46210665686186,0.8002457291302199
41,04,6.712023441953233,29.750253626866847,0.7626760675348007
41,05,5.596963421964111,30.594188559163154,0.8265382924580646
41,06,5.662361392994755,30.121748939419252,0.8139721657932282
41,07,6.429800595574899,30.00987239596681,0.7912575469441375
41,08,6.118836205040622,30.561125763436976,0.8046962753259002
41,09,6.373053870487036,29.511794354632222,0.7736043541375187
41,10,5.758470255058768,29.9386275014558,0.8047495926450844
41,11,5.484944159748535,30.115702359157453,0.8235039486690802
41,12,6.740952198885216,29.881231139992003,0.7740088140464866
41,13,5.6169772429732765,30.852455479033488,0.7910959348709976
41,14,5.137689564691804,30.59076696930607,0.8420685685942109
41,15,4.650903631627302,31.183507367341523,0.8550072554625281
41,16,5.756498069855005,29.737251592119822,0.8157301646578483
41,17,4.781838008323176,30.855179738888,0.8368613597369059
41,18,4.391914336987614,31.102833010345687,0.855814708816861
41,19,5.722596349355515,29.54663393337159,0.7933738004760422
41,20,5.07533857372377,30.51199938906247,0.8401156003934482
42,00,20.600351002764466,25.936200729227373,0.0195084988343045
42,01,18.182221315028826,38.44192554257375,0.17607739630749764
42,02,12.03458258567933,29.153296545756067,0.6230997324578349
42,03,9.055579802486632,33.30275156684476,0.7124776894849061
42,04,7.372847245692658,32.36243902493667,0.7937661514052741
42,05,4.796186030235348,33.673943543928424,0.8917619633586862
42,06,4.1080019967314065,33.46408098928797,0.9057230588619908
42,07,4.167447733301642,33.871600529533005,0.9051882233440829
42,08,3.722788333222955,33.65119643299076,0.9098488264435385
42,09,3.815025977544298,33.73257861482816,0.9125020602633811
42,10,3.460754060182932,34.422949256697464,0.9161928490135994
42,11,3.36889028375333,33.98698842821113,0.9169334091432776
42,12,3.5331885409630885,34.00132824022266,0.9144029256889527
42,13,3.875239280391184,34.61162773910519,0.9084054324975037
42,14,3.4813684316327893,34.33228427933775,0.9193227998344248
42,15,3.9155801433548154,34.05145176322612,0.9086794116998033
42,16,3.580795098574223,34.018055531971,0.9136243101514446
42,17,3.728772430351364,34.50209895800097,0.9146545710278398
42,18,3.682570877049411,34.3549627218254,0.9106802831006594
42,19,3.6148590938930663,34.327807526238715,0.9131200923740513
42,20,3.6729625967063098,34.29756610615831,0.9096677863542487
43,00,18.32368820263952,28.365666756152823,-0.02089676380729366
43,01,15.674811125894708,30.283077764348892,0.2941584079676136
43,02,6.6028100904620715,31.168043222806837,0.8490652334543026
43,03,6.2659189762393925,32.345625468477664,0.8684512437725482
43,04,5.88531800791449,32.12627616883198,0.8735227572609209
43,05,5.284567136425531,32.34543481670166,0.8906758273037119
43,06,4.839500906374762,32.11364517853556,0.892881802741483
43,07,4.121936570317921,33.07385880001192,0.9131680243342899
43,08,4.179177199269848,32.906108830526875,0.9117102054969222
43,09,4.196447533872778,33.272614026523414,0.9168479232563755
43,10,4.335816859907306,32.5995205394327,0.9040432040394399
43,11,3.6528043797196776,33.82402091797271,0.9264654134747764
43,12,4.3905180870977425,33.55225163071582,0.9058757517194991
43,13,4.016975863052729,33.0020525309911,0.9086978575687708
43,14,4.996455237277709,32.30226771869233,0.8809623422150894
43,15,5.215317718871532,32.264543212250295,0.8810058245252943
43,16,4.761553623859553,33.005362371221885,0.895063418175415
43,17,6.932660497482958,30.459548094458388,0.8240946805600893
43,18,4.780151933448784,32.81974113340397,0.887401452330683
43,19,4.617131946291334,32.054178091923745,0.8871776537316215
43,20,4.54117288008418,32.64884899307701,0.8925898111505961
44,00,14.177150429455248,29.34412044217361,0.4414855422138242
44,01,14.724692200648473,31.936357942781424,0.38882742745700494
44,02,11.98404359113828,30.843759693496555,0.5407788555234567
44,03,8.87124148947354,31.568363788957342,0.626081687445964
44,04,7.452091257819208,31.82857702028502,0.6746719570758694
44,05,6.917238298283118,32.39412603832339,0.6861856920957896
44,06,7.920660243893973,32.20063196883164,0.620634979518923
44,07,7.794362783205525,31.64876611150436,0.6570637796038197
44,08,6.736111726933643,32.524016676075725,0.6773508483043631
44,09,6.215281893938335,32.13639920653504,0.714102979985386
44,10,7.164345982271768,32.68319765864323,0.635289762545325
44,11,7.204682950417037,32.40382765760966,0.6478094537161432
44,12,7.118255602502067,32.45885755543392,0.643646587907607
44,13,7.914894817583678,31.641341325777756,0.6187770036684652
44,14,7.174723085765487,32.395665173372585,0.6424046758332704
44,15,8.062729307219254,31.522917060281983,0.6090635338621901
44,16,7.143903942522478,32.2683820483316,0.652492270816337
44,17,5.886611649276298,32.88290043720982,0.7310386143626199
44,18,7.641344446027566,32.462902070192776,0.7306807504816791
44,19,4.948684570133893,33.207335164957854,0.7926177155853092
44,20,4.968600934727638,33.77642065079147,0.7819992635583455
46,00,27.169189882853214,43.998048882498374,-0.49570290813009454
46,01,17.822300825749327,37.22141918808006,0.32317882321759384
46,02,16.940164286285707,32.56657732603888,0.26530713890865765
46,03,5.9090318545896094,37.11967686432659,0.832791485532924
46,04,7.901483390847845,34.051473392193245,0.7516402510830932
46,05,6.400001869348207,35.93120988566873,0.7723716976744852
46,06,6.193167372628903,36.51165553936992,0.8156045459115254
46,07,4.984563922558306,36.580574798265154,0.8212966339331358
46,08,4.591758908870214,38.07903576855315,0.8506303613762767
46,09,5.36550549489414,36.62853667122691,0.8323196577252925
46,10,4.8651235014417695,36.61732116276641,0.8453966410244363
46,11,5.49560369320034,36.069716371186544,0.8282279526618169
46,12,4.712552811885014,36.810509855754454,0.8351042560000903
46,13,4.926768527331425,36.787894764398686,0.847904366448643
46,14,5.341547565022707,35.9987427816416,0.8257185212371931
46,15,5.066617007115365,36.42021019323126,0.8320090709130652
46,16,5.295202672080124,35.85881372103233,0.8242325142916171
46,17,4.787093755852047,36.589108918892435,0.8429625502642858
46,18,5.0105398317656125,36.32072799401312,0.8184772823601116
46,19,4.687491690683424,36.80886020156139,0.836686960966976
46,20,5.253388496758568,35.87643804641297,0.8345002230463648
