,x_0,x_1,x_2,y_0,y_1,y_2
14632,7,8,5,1,1,1
3872,2,5,4,1,3,1
1810,1,5,6,1,1,3
12576,6,8,5,2,2,1
13793,7,4,8,3,1,3
4965,3,1,1,3,1,3
2648,1,9,1,3,1,3
5089,3,1,6,3,2,2
4220,2,6,8,3,2,1
3530,2,3,9,1,3,2
25,0,1,3,0,2,2
15052,8,1,3,1,2,2
8273,4,7,1,1,2,2
13915,7,5,4,2,2,3
18302,9,6,1,3,2,2
7233,4,2,3,1,2,1
13370,7,3,0,2,2,0
14775,7,9,1,2,2,1
17680,9,3,5,3,2,1
4828,2,9,5,2,3,3
1429,1,4,0,2,1,0
4332,2,7,3,3,2,2
11135,6,2,1,3,3,3
56,0,1,7,0,1,3
18466,9,6,8,1,3,1
13604,7,4,1,1,1,3
7728,4,4,6,2,1,1
3572,2,4,1,2,3,3
566,0,8,1,0,3,1
12281,6,7,2,3,1,3
1264,1,3,3,3,1,2
1335,1,3,6,2,2,1
4485,2,8,0,3,3,0
15504,8,3,2,3,2,2
18814,9,8,3,1,2,3
6783,3,9,3,1,1,1
14097,7,6,2,1,3,1
11201,6,2,4,3,1,2
4520,2,8,2,1,3,3
7480,4,3,4,3,3,3
2941,2,1,3,3,3,1
8117,4,6,4,1,1,2
3184,2,2,4,1,3,3
13451,7,3,4,1,3,1
15329,8,2,4,3,3,3
5267,3,2,5,1,1,2
7414,4,3,1,3,2,1
4052,2,6,2,1,1,3
15356,8,2,6,1,1,3
10496,5,8,3,1,3,1
