,f_res
1716,36.13098548337701
3876,31.829502352377425
1812,73.81577981705539
12590,50.08307160109092
14648,44.32447000247155
2828,7.272391673995563
2954,46.27941553217802
9606,95.17565139782339
6880,96.61473963117636
8627,58.96364100867584
170,20.48938627582583
1268,22.99060324502165
4638,22.702591118416414
601,22.839393818575832
1397,55.582436476012816
1154,69.93774731144833
11458,35.56828841819634
2527,69.62846841630225
9099,26.8505337190902
2450,59.9736118222006
5615,29.165646919621036
17923,23.140558743470304
14532,45.08892782047495
7487,57.46336611268087
6319,51.96236855648518
17122,19.16525677521697
5163,29.3202526975809
7618,24.818506966374912
6264,33.22405250131296
18328,45.08280411642559
9260,16.876973383874255
3078,20.35547753529747
12084,20.25360745768516
3145,22.92534381421574
10502,52.53490627192552
1016,24.594672044977546
796,24.261109741724514
13335,64.18095229115877
403,17.403760159804545
15340,39.908871920915026
9960,25.889913286838176
3824,36.9738595361642
6770,33.856913754800516
16870,41.28667139646886
15996,40.12501788161595
15094,20.33600506490889
7183,21.106421857103115
9932,37.13617927304854
10323,53.439057495431186
6724,65.56477311026097
7674,26.882508056541155
5808,31.75798987404587
13425,34.67778581685976
4974,40.78090751810215
9731,33.88984005568631
3347,35.0506812835357
10991,23.79975031381632
9902,42.24672244091842
7896,41.66062384314474
11040,40.47765424280414
10953,13.864902135247835
9209,29.10615946221693
3640,55.13506016138914
9469,37.66357594546753
11863,45.62695592519842
11620,19.24301439328049
3187,35.77598346656595
6033,25.96893318948624
15627,42.72574605551084
8803,71.33910004338435
1258,15.270251407557113
7399,18.489169570589155
15736,27.328771816530647
9629,30.968159438365078
3387,51.36680307358051
7379,24.058884131231025
11525,26.29953279052691
10099,33.08673262804896
5682,36.9222202203497
13990,81.25458922424012
10349,30.804219792099914
9291,37.853701034377075
4309,37.81686420104131
4199,44.66406779504079
16681,59.06651994996827
9415,23.449863087873243
8560,46.27036881201619
13737,49.98169105782637
11319,60.593165093102705
12366,64.4949151794155
3282,18.596701047766512
15281,21.64440643237878
15497,31.435475596847585
9279,26.948763199820508
11507,57.162541344835255
11201,13.887533286008713
9239,29.051576433130098
13533,26.736357717535125
7444,42.55561586911885
15295,35.52557302845374
