,x_0,x_1,x_2,y_0,y_1,y_2
1716,1,5,2,3,3,2
3876,2,5,6,3,2,1
1812,1,5,6,3,2,3
12590,6,8,4,2,1,3
14648,7,8,5,2,1,2
2828,2,1,1,1,1,1
2954,2,1,6,1,3,2
9606,5,3,9,2,1,3
6880,3,9,9,1,2,3
8627,4,8,6,2,3,1
170,0,3,1,0,3,3
1268,1,3,4,1,1,2
4638,2,9,1,1,1,2
601,0,8,6,0,1,1
1397,1,3,9,1,1,2
1154,1,2,8,3,3,2
11458,6,3,3,2,3,2
2527,1,8,7,3,2,2
9099,5,1,6,3,1,1
2450,1,8,4,2,3,2
5615,3,4,3,1,3,1
17923,9,4,5,1,1,1
14532,7,8,0,1,3,0
7487,4,3,5,3,2,3
6319,3,7,5,2,1,3
17122,9,1,2,1,1,2
5163,3,2,3,1,2,3
7618,4,4,1,3,1,2
6264,3,7,3,1,2,1
18328,9,6,2,1,3,3
9260,5,2,4,1,1,1
3078,2,2,1,3,3,2
12084,6,6,2,1,1,1
3145,2,2,4,3,3,1
10502,5,8,1,1,3,3
1016,1,2,3,1,3,2
796,1,1,3,3,1,3
13335,7,2,6,1,3,3
403,0,6,2,0,1,2
15340,8,2,4,3,1,2
