,x_0,x_1,x_2,y_0,y_1,y_2
1746,1,5,3,1,2,3
3943,2,5,6,3,2,1
1843,1,5,7,1,2,3
12807,6,8,2,2,2,2
14900,7,8,2,2,2,3
3029,2,1,7,2,2,2
6105,3,6,0,2,2,0
2701,1,9,3,3,2,1
9886,5,4,4,2,2,3
4924,2,9,9,2,2,1
1055,1,2,4,1,2,1
4494,2,8,1,1,2,3
17434,9,1,0,2,2,0
18622,9,6,0,2,2,0
6680,3,8,5,1,2,3
3612,2,4,2,3,1,1
13279,7,1,2,2,2,3
18230,9,4,4,2,2,1
6184,3,6,3,3,3,2
14223,7,5,2,3,3,2
9584,5,3,1,2,1,3
8184,4,6,1,2,1,3
16263,8,5,1,1,1,3
15538,8,1,8,3,3,1
15034,7,8,7,3,2,1
3110,2,2,1,1,3,3
170,0,3,0,0,3,0
11859,6,4,0,1,2,0
7105,4,1,3,3,2,2
17957,9,3,2,3,2,3
11480,6,2,4,1,1,1
7034,4,1,0,2,3,0
12534,6,7,0,3,1,0
3436,2,3,4,3,3,3
6392,3,7,3,1,1,1
5258,3,2,4,1,1,3
10036,5,5,1,1,3,2
4060,2,6,2,1,3,1
13775,7,3,3,1,3,2
18934,9,7,3,3,1,1
805,1,1,3,3,1,3
5672,3,4,1,3,3,3
6642,3,8,3,3,1,3
17532,9,1,4,2,2,2
10935,5,9,0,1,3,0
7288,4,2,2,1,1,1
9593,5,3,1,3,3,1
10334,5,6,4,1,3,1
6165,3,6,3,1,2,3
16578,8,6,4,1,3,3
9388,5,2,2,1,3,3
11201,6,1,1,3,1,1
14705,7,7,4,1,1,1
5707,3,4,3,2,1,3
8667,4,8,1,3,2,1
5650,3,4,1,1,2,1
9184,5,1,3,1,1,3
8415,4,7,1,1,3,1
5728,3,4,4,1,3,1
10347,5,6,4,3,1,2
