,f_res
1759,32.21625547763116
1857,73.57180243816241
12903,36.41253550633353
15012,67.5959223030502
3972,55.751596039934135
2931,13.71219882294594
4846,27.41672836061954
6401,31.595581748086236
5270,41.41678739351955
2892,95.3677661686589
35,33.2639979653679
156,73.56953468957107
11760,51.16506143844646
667,50.02582443098764
7103,59.04517423972936
5385,17.17300508035795
6549,27.770451636406637
18115,29.939419667054338
18439,34.54459318040958
19499,56.98167728314076
5551,23.971302532194613
8152,27.982554940533934
13051,34.66202191159656
11926,29.570981620500863
9164,79.54011447062419
3453,29.387761014408703
3439,25.58704021570295
18828,32.74485501571201
2518,54.83341494016217
6545,48.80162368200468
11457,14.456207512691565
10316,34.78973967996886
7519,36.88455743315894
6738,50.65680930536387
17011,48.13553163724278
826,33.144560896171186
17694,37.4226768283617
17461,40.29894497378312
4883,51.479189173878794
6564,60.80064021866875
3634,13.72713773005866
3964,22.655522038787804
1335,21.23647964352849
14423,34.95125571420861
14278,61.51803633894697
2,5.053278297303643
14016,26.898939442290285
3483,35.43341483345911
7064,33.856913754800516
17210,64.42019850947372
8165,25.649669569021743
9422,23.790607509897683
11264,34.647302706127064
8019,45.484199168502464
10147,33.35611503158004
7239,14.887737308604018
3927,32.84092204856618
10967,39.38898904516337
10070,38.63523843591495
10143,64.20831101189316
10521,25.44246568318409
7236,20.860560535134237
11488,31.19157160195683
8941,57.214805898473514
12878,60.045773006931974
7979,27.35746318721822
3057,41.331855551015366
12402,32.13112505033087
5941,35.66109982880506
1181,76.38734036474892
